k,alpha_ndcg@k,kl_divergence@k
4,0.6888049389739663,0.15270022200559735
8,0.6558000486272789,0.1363166158125176
16,0.6152832063295105,0.10259477762502602
20,0.6009872020117327,0.09351516797357484
