k,alpha_ndcg@k,kl_divergence@k
4,0.8757651368999786,0.15770908947045723
8,0.8791566810816835,0.14117944052239934
16,0.8844217384290796,0.10808133027934508
20,0.8860171175963104,0.09902654620743197
